XP_054345085.1	XP_055125603.1_gene:LOC129476773_species:SymSyn	84.343	31	0	0	100	6.91e-125
XP_054345085.1	XP_055125640.1_gene:LOC129476786_species:SymSyn	83.838	32	0	0	100	7.47e-124
XP_054345085.1	XP_055125644.1_gene:LOC129476791_species:SymSyn	83.838	30	1	2	100	1.91e-122
XP_054345085.1	XP_055125641.1_gene:LOC129476788_species:SymSyn	86.869	26	0	0	100	4.32e-120
XP_054345085.1	XP_055125573.1_gene:LOC129476737_species:SymSyn	86.224	27	0	0	99	2.75e-118
XP_054345085.1	XP_055125572.1_gene:LOC129476735_species:SymSyn	84.848	30	0	0	100	2.66e-116
XP_054343091.1	XP_055125640.1_gene:LOC129476786_species:SymSyn	80.488	30	1	2	81	6.06e-92
XP_054343091.1	XP_055125603.1_gene:LOC129476773_species:SymSyn	80.488	30	1	2	81	1.50e-91
XP_054343091.1	XP_055125644.1_gene:LOC129476791_species:SymSyn	80.488	28	2	4	81	1.51e-90
XP_054343091.1	XP_055125573.1_gene:LOC129476737_species:SymSyn	82.317	27	1	2	81	3.29e-86
XP_054343091.1	XP_055125641.1_gene:LOC129476788_species:SymSyn	82.317	27	1	2	81	3.35e-85
XP_054343091.1	XP_055125572.1_gene:LOC129476735_species:SymSyn	82.317	27	1	2	81	3.92e-85
XP_054345088.1	XP_055125640.1_gene:LOC129476786_species:SymSyn	81.746	23	0	0	100	1.06e-73
XP_054345088.1	XP_055125603.1_gene:LOC129476773_species:SymSyn	81.746	23	0	0	100	3.56e-73
XP_054345088.1	XP_055125641.1_gene:LOC129476788_species:SymSyn	85.714	18	0	0	100	8.51e-70
XP_054345088.1	XP_055125644.1_gene:LOC129476791_species:SymSyn	79.365	24	1	2	100	9.20e-70
XP_054345088.1	XP_055125572.1_gene:LOC129476735_species:SymSyn	83.333	21	0	0	100	9.39e-67
XP_054345088.1	XP_055125573.1_gene:LOC129476737_species:SymSyn	83.871	20	0	0	98	1.69e-66
